timestamp,sender,receiver,content
2025-05-21 22:13:05,张三,我,今天其实有点想你
2025-05-21 22:14:20,我,张三,真的吗？我也在想你
2025-05-21 22:15:30,张三,我,嗯嗯，最近工作有点累
2025-05-21 22:16:45,我,张三,辛苦了，周末要不要一起吃饭
2025-05-21 22:17:50,张三,我,好啊，周六下午怎么样
2025-05-21 22:18:30,我,张三,可以，那我们去吃火锅吧
2025-05-21 22:19:15,张三,我,好的，你定地方
2025-05-21 22:20:00,我,张三,行，那周六下午3点见
2025-05-21 22:20:45,张三,我,好的，到时候见
2025-05-22 09:30:00,张三,我,早安，昨天睡得好吗
2025-05-22 09:35:00,我,张三,早安，睡得还不错，你呢
2025-05-22 09:40:00,张三,我,也还行，就是有点想你
2025-05-22 09:45:00,我,张三,哈哈，我也想你
2025-05-22 09:50:00,张三,我,对了，周六吃饭的事情
2025-05-22 09:55:00,我,张三,嗯，怎么了
2025-05-22 10:00:00,张三,我,我可能要晚一点，公司有点事
2025-05-22 10:05:00,我,张三,没关系，那我们4点见吧
2025-05-22 10:10:00,张三,我,好的，谢谢理解
2025-05-22 10:15:00,我,张三,没事，工作要紧
2025-05-22 10:20:00,张三,我,嗯嗯，你真好
